"Romano's - JW Marriott Mumbai Sahar","022 33956233","JW Marriott Mumbai Sahar, IA Project Road, Chhatrapati Shivaji International Airport, Sahar, Chakala, Mumbai","Italian","Average ₹4,000 for two people (approx.) ","Today  6:30 PM to 11:30 PM"
"Icekraft","Not Available","5, Meera CHS, Opposite Windsor Grande Residences, Oshiwara, Andheri West","Desserts, Ice Cream, Fast Food","Average ₹300 for two people (approx.)","Today  12:30 PM to 12:30 AM"
"ESTELLA","+91 7999998232,  +91 7999998212","Ground Floor, Nichani Kutir Building, Opposite HDFC Bank, Juhu Tara Road, Juhu, Mumbai","Modern Australian","Average ₹4,000 for two people (approx.) ","Today  7 PM to 1 AM"
"Cafe Madras","022 24014419","38 B, Circle House, King's Circle, Matunga East, Mumbai","South Indian","Average ₹250 for two people (approx.)","Today  7 AM to 2:30 PM, 4 PM to 10:30 PM"
"Chi Na Chi Ni","022 33956027","Royal Tulip, 26 B, Sector 7, Kharghar, Navi Mumbai","Asian","Average ₹1,000 for two people (approx.)","Today  12 Noon to 3 PM, 7 PM to 11 PM"
"Yoghurt Studio","+91 9004133210","Infinity Mall Food Court, Malad West, Mumbai","Desserts","Average ₹200 for two people (approx.)","Today  11 AM to 11 PM"
"Summer House Cafe","022 33951631","Todi Mill, Lower Parel, Mumbai","American, Lebanese, Italian","Average ₹2,000 for two people (approx.) with alcohol ","Today  12 Noon to 1 AM"
"The Gourmet Kitchen","022 30151440","Near Fun Republic, Veera Desai Area, Mumbai","Mediterranean","","Today  12:15 PM to 12 Midnight"
"Aer - Four Seasons","022 24818000,  022 24818444","Four Seasons Hotel, 1/136, E Moses Road, Worli, Mumbai","Spanish, Italian, European, Lebanese","Average ₹4,000 for two people (approx.) with alcohol ","Today  5 PM to 1:30 AM"
"Doolally Taproom","+91 8291334248","Shop No. 5/6, Geleki, ONGC Colony, Reclamation, Bandra West","Finger Food, North Indian","Average ₹1,800 for two people (approx.) with alcohol","Today  7 AM to 1 AM"
"Starbucks Coffee","Not Available","10, Elphinstone Building, Veernariman Road, Horniman Circle, Fort, Mumbai","Cafe","Average ₹600 for two people (approx.) ","Today  7 AM to 1 AM"
"Wasabi By Morimoto - The Taj Mahal Palace","022 66653366","The Taj Mahal Palace & Tower, Apollo Bunder, Colaba, Mumbai","Japanese, Sushi","Average ₹12,000 for two people (approx.) ","Today  12:30 PM to 2:45 PM, 7 PM to 11:45 PM"
